ttfi_id,player_name,season_year,total_seasonal_points,state_institution,career_volatility,pts_lag_1,pts_lag_2,pts_lag_3,momentum_yoy
200102,Amrutha Pushpak Shekhar,2023,24.0,RBI,5.967504596656052,70.0,65.0,70.0,5.0
200102,Amrutha Pushpak Shekhar,2024,25.0,RBI,5.967504596656052,24.0,70.0,65.0,-46.0
200110,Selena Deepti Selvakumar,2023,60.0,TN,2.6352313834736494,65.0,40.0,145.0,25.0
200110,Selena Deepti Selvakumar,2024,95.0,TN,2.6352313834736494,60.0,65.0,40.0,-5.0
200180,Viswanath Kushi,2024,42.0,KNT,6.088240030309799,47.0,40.0,45.0,7.0
200202,Dutta Moumita,2023,145.0,RSPB,25.298221281347036,215.0,85.0,105.0,130.0
200202,Dutta Moumita,2024,35.0,RSPB,25.298221281347036,145.0,215.0,85.0,-70.0
200220,Ayhika Mukherjee,2023,330.0,RBI,40.51935564416322,220.0,155.0,245.0,65.0
200220,Ayhika Mukherjee,2024,33.0,RBI,40.51935564416322,330.0,220.0,155.0,110.0
200345,Krittwika Sinha Roy,2023,32.0,PSPB,22.241103090149707,120.0,105.0,210.0,15.0
200345,Krittwika Sinha Roy,2024,115.0,GUJ,22.241103090149707,32.0,120.0,105.0,-88.0
200399,Chipia Frenaz,2023,40.0,IA & AD,5.9281411203561225,85.0,60.0,40.0,25.0
200399,Chipia Frenaz,2024,32.0,GUJ,5.9281411203561225,40.0,85.0,60.0,-45.0
200422,Saini Suhana,2024,95.0,HRN,17.182493859684488,95.0,60.0,25.0,35.0
200424,Das Mouma,2024,55.0,PSPB,37.496031536048996,95.0,145.0,120.0,-50.0
200425,Batra Manika,2023,50.0,PSPB,64.18908081004194,45.0,30.0,300.0,15.0
200442,D'souza Senhora Cezinha,2024,72.0,MHR,7.801861804662245,35.0,40.0,115.0,-5.0
200467,Rishya Reeth,2023,75.0,PSPB,32.076297929918425,330.0,255.0,270.0,75.0
200467,Rishya Reeth,2024,90.0,PSPB,32.076297929918425,75.0,330.0,255.0,-255.0
200503,Akula Sreeja,2023,360.0,RBI,54.984846397287804,480.0,360.0,380.0,120.0
200503,Akula Sreeja,2024,120.0,RBI,54.984846397287804,360.0,480.0,360.0,-120.0
200504,Deshpande Divya,2024,18.0,PSPB,10.686440005914037,50.0,40.0,80.0,10.0
200507,Patkar Madhurika,2024,140.0,PSPB,16.420805617960927,30.0,50.0,140.0,-20.0
200529,Das Ankita,2023,11.5,PSPB,8.526103708285776,60.0,50.0,65.0,10.0
200529,Das Ankita,2024,7.0,PSPB,8.526103708285776,11.5,60.0,50.0,-48.5
200571,Sarkar Takeme,2023,75.0,RSPB,24.38487691628199,135.0,195.0,200.0,-60.0
200571,Sarkar Takeme,2024,57.0,RSPB,24.38487691628199,75.0,135.0,195.0,-60.0
200643,Harsha Vardhini Calange Ravichandran,2023,50.0,RBI,5.68205194324324,30.0,40.0,80.0,-10.0
200643,Harsha Vardhini Calange Ravichandran,2024,27.0,RBI,5.68205194324324,50.0,30.0,40.0,20.0
200645,Kamath Archana Girish,2023,300.0,PSPB,27.34262327610589,160.0,20.0,205.0,140.0
200674,Jaiswal Varuni,2023,45.0,TELG,8.261355820929152,35.0,60.0,30.0,-25.0
200674,Jaiswal Varuni,2024,22.0,TELG,8.261355820929152,45.0,35.0,60.0,10.0
200736,Sivashankar Yashini,2023,120.0,TN,7.529703086538577,65.0,40.0,55.0,25.0
200736,Sivashankar Yashini,2024,125.0,TN,7.529703086538577,120.0,65.0,40.0,55.0
200750,Mani Nithyashree,2024,55.0,TN,5.0,60.0,65.0,55.0,-5.0
200805,Ghosh Swastika,2024,240.0,AAI,17.853571071357123,85.0,190.0,205.0,-105.0
200813,Chitale Diya Parag,2023,270.0,RBI,48.062459362791664,285.0,240.0,145.0,45.0
200813,Chitale Diya Parag,2024,360.0,RBI,48.062459362791664,270.0,285.0,240.0,-15.0
200837,Amrute Shruti Vijay,2023,50.0,RSPB,7.244921593011817,65.0,85.0,130.0,-20.0
200837,Amrute Shruti Vijay,2024,29.0,RSPB,7.244921593011817,50.0,65.0,85.0,-15.0
200881,Sen Prapti,2023,75.0,BNG,14.142135623730951,130.0,170.0,225.0,-40.0
200881,Sen Prapti,2024,65.0,RSPB,14.142135623730951,75.0,130.0,170.0,-55.0
200884,Goel Radhapriya,2024,16.0,AAI,6.831300510639732,70.0,70.0,30.0,0.0
201029,Baskar Kavyasree,2024,60.0,TN,8.524474568362947,85.0,10.0,10.0,75.0
201061,Venkatesan Kowshika,2024,20.0,TN,8.07465169527454,28.0,50.0,50.0,-22.0
201096,De Sataporni,2024,22.0,BNG,6.113509630318742,15.0,10.0,20.0,5.0
201110,Kutumbale Anusha,2023,90.0,RSPB,13.849844108082292,200.0,195.0,195.0,5.0
201110,Kutumbale Anusha,2024,175.0,RSPB,13.849844108082292,90.0,200.0,195.0,-110.0
201114,Kundu Munmun,2024,45.0,RSPB,6.67974906856894,50.0,55.0,30.0,-5.0
201115,Baisya Poymantee,2023,270.0,RSPB,51.85717565261982,195.0,70.0,70.0,125.0
201115,Baisya Poymantee,2024,55.0,RSPB,51.85717565261982,270.0,195.0,70.0,75.0
201145,Bhargava Vanshika,2024,24.0,DLI,7.393691004272944,32.0,40.0,20.0,-8.0
201162,Narang Lakshita,2024,50.0,DLI,12.548951768023912,90.0,75.0,65.0,15.0
201853,Gogoi Trisha,2024,70.0,ASM,5.089204259999788,60.0,10.0,20.0,50.0
202096,Ghorpade Yashaswini,2024,225.0,PSPB,24.423918149588076,135.0,175.0,120.0,-40.0
202317,Nath Kaushani,2023,45.0,RSPB,17.677355257189603,60.0,40.0,180.0,20.0
202317,Nath Kaushani,2024,55.0,RSPB,17.677355257189603,45.0,60.0,40.0,-15.0
202344,Joardar Oishiki,2024,30.0,GUJ,3.8297084310253524,50.0,30.0,20.0,20.0
202434,Vartikar Pritha,2024,47.0,PSPB,33.140106618215135,180.0,10.0,10.0,170.0
202459,Mukherjee Sagarika,2023,55.0,RSPB,8.472832400613674,80.0,80.0,145.0,0.0
202459,Mukherjee Sagarika,2024,10.0,RSPB,8.472832400613674,55.0,80.0,80.0,-25.0
203203,Mukherjee Sutirtha,2023,160.0,RSPB,34.96101725168659,335.0,150.0,340.0,185.0
203203,Mukherjee Sutirtha,2024,255.0,RSPB,34.96101725168659,160.0,335.0,150.0,-175.0
